angle,release_x_offset,release_y_offset,relative_angle,success_rate,ideal_x,ideal_y,avg_final_x,avg_final_y,difference_from_ideal_px,avg_short_contacts,max_short_contacts,failures_floor,failures_multi_short,failures_unstable,failures_angle,failures_no_contact,failures_invalid_pos,x_offset_std,y_offset_std,angle_offset_std,difference_from_ideal_mm
20,-300,400,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,405,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,410,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,415,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,420,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,425,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,430,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,435,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,440,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,445,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,450,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,455,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,460,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,465,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,470,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,475,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,480,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,485,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,490,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,495,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,500,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,505,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,510,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,515,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,520,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,525,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,530,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,535,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,540,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
20,-300,545,0,0.000,1879.319,1506.472,,,,0.000,0,10,0,0,0,0,0,0.000,0.000,0.000,
